OP070_V_1_angle_value,OP090_SnapRingPeakForce_value,OP070_V_2_angle_value,OP120_Rodage_I_mesure_value,OP090_SnapRingFinalStroke_value,OP110_Vissage_M8_torque_value,OP100_Capuchon_insertion_mesure,OP120_Rodage_U_mesure_value,OP070_V_1_torque_value,OP090_StartLinePeakForce_value,OP110_Vissage_M8_angle_value,OP090_SnapRingMidPointForce_val,OP070_V_2_torque_value,Binar_OP130_Resultat_Global_v
156.0,139.16,163.6,114.28,12.05,12.33,0.41,11.97,6.4,25.36,12.4,99.87,6.42,1
189.0,149.9,168.4,111.04,12.03,12.27,0.41,11.97,6.42,24.19,13.6,102.39,6.42,1
179.6,164.44,184.9,111.41,11.89,12.28,,11.97,6.62,25.98,12.4,96.32,6.61,1
161.8,144.95,152.8,115.78,11.76,12.31,,11.97,6.61,25.66,10.7,94.93,6.62,1
165.5,140.63,167.7,112.43,11.87,12.21,,11.97,6.61,24.93,18.9,96.56,6.63,1
147.6,150.47,153.5,116.73,11.82,12.37,0.33,11.97,6.62,24.31,11.4,96.37,6.62,1
158.2,167.2,163.7,112.21,12.07,12.27,,11.97,6.6,23.19,13.3,101.51,6.62,1
159.8,151.25,128.3,117.64,12.08,12.18,,11.97,6.61,23.02,20.4,97.91,6.61,1
185.5,158.94,153.6,113.67,11.83,12.3,,11.97,6.6,26.07,15.1,102.37,6.61,1
130.8,153.84,136.1,111.75,12.09,12.28,0.41,11.97,6.41,23.39,12.5,104.0,6.41,1
184.5,158.77,158.5,117.34,11.82,12.3,0.32,11.97,6.61,27.21,19.1,96.37,6.61,1
174.8,171.48,193.8,116.2,12.07,12.27,,11.97,6.62,23.62,15.9,102.66,6.61,1
137.2,185.99,153.3,117.02,12.06,12.35,,11.97,6.61,26.76,10.9,108.11,6.61,1
155.6,151.67,197.7,118.09,11.7,12.24,,11.97,6.6,24.92,14.5,103.47,6.48,1
161.1,154.81,163.7,118.97,12.1,12.28,,11.98,6.64,24.49,15.1,103.98,6.62,1
151.1,172.0,154.5,115.61,12.07,12.13,,11.97,6.63,22.81,23.5,98.67,6.61,1
165.0,155.95,155.3,116.47,12.08,12.25,,11.97,6.64,22.91,14.5,94.17,6.6,1
188.1,189.65,149.7,119.52,12.04,12.24,,11.97,6.62,23.7,12.5,107.04,6.61,1
154.7,166.91,169.8,116.35,12.07,12.21,,11.97,6.62,21.61,19.9,103.75,6.6,1
131.8,152.96,144.0,107.46,12.12,12.28,0.39,11.97,6.41,17.73,10.6,79.2,6.4,1
179.0,155.26,153.7,113.13,12.02,12.39,0.4,11.97,6.44,23.82,8.8,105.29,6.4,1
154.7,161.45,173.9,118.06,11.92,12.21,,11.98,6.62,25.15,24.8,106.63,6.62,1
165.0,156.15,168.5,110.49,11.83,12.21,0.37,11.97,6.61,25.54,19.6,103.06,6.61,1
156.2,168.85,192.8,107.88,11.9,12.27,,11.98,6.61,26.65,14.9,107.06,6.63,1
175.4,150.3,173.0,124.67,12.09,12.2,,11.97,6.61,20.77,16.2,95.75,6.63,1
179.5,150.78,152.6,112.23,11.88,12.3,,11.98,6.61,24.75,12.2,99.05,6.62,1
166.9,161.14,175.8,108.72,12.08,12.17,,11.97,6.62,22.68,26.1,101.09,6.61,1
146.0,141.02,149.0,118.72,12.11,12.36,0.4,11.97,6.4,20.3,12.9,85.71,6.41,1
145.4,148.08,152.4,113.92,12.11,12.27,0.39,11.97,6.4,18.98,17.6,81.54,6.44,1
167.2,172.67,184.6,109.57,12.06,12.23,,11.98,6.6,22.07,18.0,99.81,6.61,1
164.8,165.97,175.3,107.38,11.73,12.33,,11.97,6.6,26.08,12.6,103.45,6.61,1
191.0,150.22,178.6,116.91,12.05,12.33,0.41,11.97,6.41,23.56,12.7,104.63,6.41,1
164.4,166.18,169.2,113.27,11.9,12.25,,11.97,6.62,22.68,16.0,93.67,6.63,1
163.5,152.14,176.6,112.21,12.06,12.2,0.41,11.97,6.41,23.49,16.4,101.73,6.4,1
122.8,169.16,157.6,113.72,12.07,12.18,,11.97,6.61,23.17,27.3,103.44,6.62,1
186.9,151.15,171.7,111.83,12.05,12.24,0.41,11.97,6.4,20.56,20.1,92.48,6.4,1
171.2,160.72,167.8,116.18,11.85,12.24,,11.97,6.6,25.31,16.7,102.35,6.6,1
149.6,155.4,144.9,116.46,12.04,12.21,0.41,11.97,6.41,24.87,25.6,104.1,6.41,1
158.7,153.45,157.2,116.62,12.11,12.29,0.38,11.97,6.42,24.74,14.9,82.76,6.43,1
141.2,172.72,153.3,111.2,12.06,12.19,,11.97,6.62,24.63,18.1,102.59,6.61,1
146.8,169.37,163.8,114.76,12.14,12.33,0.4,11.97,6.42,21.34,15.7,95.99,6.43,1
153.3,143.41,145.0,113.46,12.09,12.23,0.41,11.97,6.4,19.71,21.3,96.57,6.42,1
140.7,177.41,157.2,124.26,12.06,12.19,,11.97,6.62,25.04,20.0,99.94,6.63,1
155.0,157.54,169.0,113.08,11.82,12.38,0.38,11.97,6.61,25.91,14.8,100.65,6.61,1
197.8,146.96,176.5,114.41,11.86,12.28,0.36,11.97,6.39,22.94,16.2,92.52,6.63,1
163.2,135.79,161.7,113.53,11.83,12.24,0.38,11.97,6.61,25.35,12.8,101.08,6.6,1
157.8,142.9,151.6,109.27,12.12,12.32,0.41,11.97,6.41,18.18,12.8,81.58,6.41,1
135.9,144.45,161.4,115.58,11.83,12.26,0.31,11.97,6.61,24.44,19.3,100.79,6.61,1
166.1,155.74,149.8,115.3,11.81,12.24,0.37,11.97,6.63,23.66,21.0,93.87,6.6,1
138.3,149.84,147.3,113.21,12.1,12.23,0.41,11.97,6.4,19.4,12.4,102.08,6.42,1
179.8,175.94,172.3,122.25,12.06,12.15,,11.97,6.64,23.17,18.9,103.69,6.63,1
157.8,155.23,159.2,113.4,12.12,12.12,0.37,11.97,6.41,21.72,25.5,99.57,6.41,1
197.8,144.68,193.7,112.49,12.11,12.27,0.39,11.97,6.29,18.02,12.8,91.79,6.42,1
177.2,148.8,164.6,112.95,12.13,12.14,0.39,11.97,6.41,19.52,22.9,91.43,6.4,1
143.4,175.6,179.8,111.35,12.06,12.21,,11.97,6.61,22.06,15.4,98.28,6.61,1
146.1,148.94,140.3,119.55,12.13,12.29,0.39,11.97,6.4,18.3,11.2,85.99,6.4,1
150.0,152.6,158.3,111.26,11.86,12.25,0.39,11.97,6.6,24.65,21.5,95.58,6.61,1
164.3,177.61,148.2,110.85,11.88,12.25,,11.97,6.62,25.04,14.5,109.36,6.61,1
162.7,171.16,179.8,112.3,11.87,12.37,,11.98,6.62,26.86,10.4,95.81,6.65,1
161.0,160.94,161.3,111.94,12.09,12.19,,11.97,6.61,25.43,19.6,103.72,6.61,1
141.3,155.61,154.0,114.54,11.84,12.23,0.38,11.97,6.61,22.55,16.6,93.13,6.61,1
158.6,138.58,161.0,110.74,12.04,12.19,0.41,11.97,6.4,20.56,12.2,92.37,6.41,1
163.0,156.17,148.5,110.56,11.82,12.34,0.38,11.97,6.6,26.32,12.4,105.55,6.61,1
129.3,176.0,148.8,119.24,12.08,12.19,,11.97,6.62,25.66,32.3,98.31,6.62,1
133.0,145.21,128.4,110.33,12.05,12.25,0.41,11.97,6.41,22.27,15.6,93.22,6.4,1
185.1,172.11,156.0,119.22,12.05,12.29,,11.97,6.62,23.13,8.8,105.17,6.61,1
170.4,150.52,149.9,105.32,12.12,12.24,0.37,11.97,6.42,21.88,16.0,95.92,6.4,1
148.6,178.9,149.2,130.94,11.93,12.21,,11.97,6.62,26.61,24.5,96.38,6.6,1
170.9,133.61,178.0,111.37,12.06,12.23,0.38,11.97,6.41,22.95,17.2,98.37,6.41,1
149.0,151.81,156.8,113.15,12.05,12.24,0.41,11.97,6.4,20.43,18.3,99.81,6.41,1
163.3,146.07,188.9,111.84,12.11,12.33,0.38,11.97,6.4,17.17,20.5,83.96,6.4,1
173.8,165.71,169.1,111.12,12.07,12.21,,11.97,6.62,23.14,17.0,104.99,6.61,1
197.9,164.0,154.6,113.4,11.83,12.32,,11.97,6.51,25.31,15.0,104.37,6.6,1
166.1,154.66,173.6,112.16,12.07,12.27,0.41,11.97,6.41,22.31,17.2,104.57,6.42,1
153.2,153.13,152.9,112.87,12.11,12.3,0.38,11.97,6.4,22.88,20.3,97.72,6.4,1
155.6,157.54,175.5,110.63,11.82,12.24,0.39,11.97,6.62,27.63,27.5,100.38,6.6,1
148.0,144.5,142.5,111.8,12.07,12.35,0.41,11.97,6.42,23.3,12.5,97.19,6.43,1
156.9,181.39,152.1,114.14,12.07,12.2,,11.97,6.62,23.21,21.4,103.37,6.6,1
164.8,158.6,159.5,113.68,11.69,12.29,,11.97,6.61,27.26,13.0,100.84,6.6,1
136.6,163.33,144.3,111.86,11.83,12.35,0.4,11.97,6.61,27.29,40.5,101.19,6.61,1
146.5,170.22,162.6,110.59,12.05,12.2,,11.97,6.62,23.04,15.5,100.0,6.6,1
165.5,152.61,166.1,111.37,11.9,12.35,,11.97,6.62,24.04,15.1,94.98,6.63,1
174.1,162.11,131.2,111.37,12.08,12.48,,11.98,6.61,23.26,9.0,104.37,6.61,1
157.1,175.71,141.8,123.03,12.08,12.18,,11.97,6.62,24.63,15.7,102.16,6.61,1
136.7,137.61,151.5,112.08,12.05,12.3,0.41,11.97,6.41,25.75,18.1,104.61,6.43,1
161.5,155.57,170.8,111.19,11.82,12.3,0.35,11.97,6.62,25.18,11.3,99.6,6.61,1
164.9,160.78,157.2,110.83,11.81,12.35,0.34,11.97,6.6,25.3,12.8,106.12,6.62,1
154.4,160.19,156.6,116.64,11.85,12.21,0.3,11.97,6.61,23.23,17.6,95.92,6.61,1
175.7,147.35,158.5,115.94,11.89,12.31,,11.97,6.6,24.28,10.9,97.75,6.6,1
190.9,152.71,165.9,117.77,11.83,12.28,0.34,11.97,6.61,25.63,12.9,93.99,6.6,1
173.3,153.27,182.4,115.82,11.71,12.34,,11.97,6.61,27.77,11.7,99.38,6.62,1
159.1,165.32,150.9,118.42,11.89,12.18,,11.97,6.62,25.68,22.3,105.82,6.61,1
148.2,160.97,144.8,107.93,11.81,12.28,0.3,11.97,6.61,24.45,13.3,97.0,6.63,1
175.1,157.07,150.6,114.47,12.09,12.19,,11.97,6.6,21.76,20.4,95.36,6.61,1
173.0,153.06,143.5,106.04,11.89,12.25,,11.97,6.62,24.32,32.5,96.14,6.61,1
160.7,157.07,178.0,110.56,11.83,12.3,0.37,11.97,6.61,24.19,13.7,99.44,6.63,1
133.5,154.75,160.6,110.47,12.03,12.25,0.41,11.98,6.4,24.26,17.6,102.83,6.41,1
157.4,156.97,178.5,111.07,12.07,12.15,,11.98,6.62,24.58,18.5,104.24,6.61,1
197.6,137.13,146.1,115.89,11.85,12.2,0.37,11.97,6.41,24.06,19.5,96.15,6.6,1
148.3,168.93,154.4,113.34,12.07,12.24,,11.97,6.62,23.21,35.0,93.36,6.61,1
151.4,149.39,178.6,111.36,11.92,12.32,,11.98,6.61,22.27,10.9,92.06,6.62,1
175.0,170.38,133.3,114.65,12.07,12.31,,11.98,6.62,24.73,11.4,105.16,6.62,1
158.0,156.86,152.0,109.5,12.08,12.25,,11.97,6.62,25.39,18.3,100.8,6.61,1
150.4,163.51,160.1,117.15,11.82,12.28,0.4,11.97,6.61,25.47,13.5,101.2,6.6,1
190.7,180.82,155.6,113.34,12.07,12.16,,11.97,6.62,24.3,30.3,99.02,6.6,1
149.7,142.85,164.2,114.47,11.85,12.25,0.35,11.97,6.61,23.57,21.0,98.54,6.6,1
158.0,157.0,168.4,105.33,11.75,12.47,,11.97,6.61,27.36,11.1,105.63,6.62,1
197.9,141.29,188.0,114.47,12.13,12.3,0.38,11.98,6.23,17.45,17.9,81.29,6.42,1
140.3,153.51,138.0,109.77,12.11,12.28,0.4,11.97,6.41,19.96,13.6,85.88,6.41,1
147.2,150.96,165.3,114.3,11.75,12.38,,11.97,6.61,26.5,11.4,106.49,6.61,1
157.1,142.89,163.6,111.37,11.83,12.27,0.37,11.98,6.6,25.68,15.6,97.35,6.62,1
154.8,157.58,152.5,112.71,12.09,12.37,0.36,11.97,6.42,23.31,10.3,91.23,6.4,1
164.7,153.79,168.6,108.71,11.77,12.2,,11.97,6.61,26.97,20.3,96.39,6.61,1
169.8,173.66,155.2,111.72,12.06,12.25,,11.97,6.62,24.21,13.7,103.11,6.6,1
171.6,160.76,166.4,113.64,11.81,12.27,0.39,11.97,6.61,24.36,16.3,107.62,6.61,1
142.1,154.6,161.6,111.99,12.04,12.24,0.39,11.97,6.41,20.36,14.9,86.4,6.41,1
163.8,156.8,179.6,113.25,11.85,12.21,0.36,11.98,6.6,25.38,17.3,97.58,6.63,1
146.9,156.04,178.6,117.52,11.83,12.21,,11.98,6.62,27.46,16.6,97.0,6.63,1
155.8,149.12,163.1,112.96,11.9,12.24,,11.97,6.62,24.88,15.9,97.2,6.61,1
165.3,168.97,154.2,117.52,12.08,12.2,,11.97,6.6,23.93,20.2,99.62,6.61,1
144.3,158.0,136.6,110.05,11.82,12.2,0.36,11.97,6.61,26.2,13.8,107.4,6.62,1
161.0,155.77,151.1,117.92,11.83,12.3,0.37,11.97,6.6,26.4,18.1,101.03,6.61,1
156.0,167.41,142.0,115.53,12.07,12.25,,11.97,6.62,25.08,17.8,102.13,6.61,1
165.5,154.64,167.7,116.61,11.85,12.26,,11.97,6.61,26.42,19.3,102.34,6.61,1
172.2,173.69,150.6,117.45,12.08,12.19,,11.97,6.61,24.65,23.9,97.09,6.6,1
156.2,159.4,154.4,111.5,12.08,12.24,,11.98,6.62,26.63,21.2,99.86,6.6,1
168.6,167.63,186.1,109.99,12.08,12.25,,11.98,6.61,23.17,14.8,106.25,6.63,1
173.6,157.66,175.6,116.57,12.1,12.15,,11.97,6.62,20.51,30.3,96.58,6.6,1
185.7,151.75,187.2,113.41,12.06,12.22,0.41,11.97,6.4,21.41,18.6,96.93,6.41,1
172.9,150.82,158.2,111.27,11.84,12.18,0.37,11.97,6.61,26.82,31.1,98.12,6.63,1
132.4,180.54,143.7,113.58,11.87,12.24,,11.98,6.62,26.19,18.7,98.1,6.62,1
176.8,135.06,183.4,112.41,11.72,12.32,,11.97,6.61,24.82,13.1,96.46,6.61,1
148.4,168.17,150.6,110.75,11.88,12.3,,11.97,6.62,23.14,19.5,95.7,6.62,1
188.7,166.63,160.0,110.81,11.68,12.3,,11.97,6.61,26.24,16.2,101.62,6.63,1
143.4,154.37,165.7,117.85,12.06,12.24,0.41,11.98,6.41,20.4,17.6,92.39,6.4,1
168.7,153.14,167.3,113.9,12.05,12.24,0.41,11.97,6.41,21.55,31.3,105.85,6.4,1
158.0,156.53,169.0,112.15,11.95,12.33,,11.97,6.61,25.3,19.6,109.39,6.63,1
183.4,161.53,165.4,112.02,12.08,12.24,,11.97,6.62,24.63,30.7,94.05,6.62,1
143.7,161.01,160.9,116.47,11.82,12.27,0.38,11.97,6.6,26.69,14.3,95.98,6.61,1
174.9,152.1,169.4,121.72,12.13,12.32,0.41,11.97,6.41,22.17,10.9,97.3,6.43,1
150.2,181.16,149.7,115.05,12.06,12.14,,11.98,6.6,23.33,21.7,102.47,6.63,1
187.1,148.7,145.8,112.11,11.84,12.23,,11.97,6.6,27.24,19.6,101.17,6.62,1
153.0,156.4,197.4,110.47,12.08,12.09,,11.97,6.6,25.37,44.5,97.07,6.49,1
197.5,155.07,164.1,120.0,12.05,12.14,0.41,11.97,6.23,22.12,25.7,93.38,6.41,1
175.1,148.66,197.4,113.59,11.87,12.21,0.35,11.97,6.61,25.05,17.0,90.36,6.55,1
146.7,162.58,178.6,114.32,12.07,12.27,,11.97,6.61,24.23,13.9,100.35,6.62,1
153.8,140.73,162.0,106.63,12.11,12.28,0.39,11.97,6.42,18.94,15.5,85.13,6.41,1
150.4,159.31,151.5,105.32,11.83,12.31,0.39,11.97,6.61,25.88,17.3,102.23,6.62,1
168.3,146.72,197.9,113.94,11.78,12.17,,11.98,6.61,24.78,19.9,103.31,6.07,1
146.8,136.57,123.1,111.82,12.04,12.22,0.41,11.97,6.41,19.14,14.8,92.57,6.41,1
190.5,143.65,185.0,117.01,11.82,12.28,0.37,11.98,6.6,24.56,18.1,97.75,6.63,1
171.0,168.24,135.9,106.38,11.89,12.26,,11.97,6.62,26.22,11.7,101.17,6.61,1
156.9,179.64,150.6,113.63,12.06,12.21,,11.97,6.61,24.48,27.8,98.55,6.6,1
145.1,153.98,167.7,118.67,12.11,12.17,,11.97,6.62,28.54,28.3,102.56,6.61,1
146.7,151.23,153.2,112.02,12.1,12.21,0.41,11.97,6.41,23.41,17.6,99.17,6.4,1
122.1,145.88,138.5,113.15,12.11,12.17,0.37,11.97,6.4,21.83,19.2,97.36,6.41,1
163.4,153.1,184.0,113.39,11.75,12.25,,11.97,6.62,26.74,20.3,93.2,6.63,1
139.7,162.9,175.1,110.79,11.81,12.28,0.37,11.97,6.62,26.71,26.2,104.22,6.61,1
188.4,158.21,149.2,116.22,11.76,12.25,,11.97,6.6,23.18,18.1,93.33,6.62,1
146.9,158.77,141.6,115.72,11.84,12.31,0.32,11.97,6.61,23.94,11.7,93.39,6.61,1
135.7,166.66,153.8,116.24,11.81,12.26,0.37,11.97,6.61,25.63,14.4,103.23,6.61,1
101.8,141.68,161.8,110.24,11.87,12.26,,11.98,6.61,26.08,13.8,101.47,6.61,1
147.1,169.15,158.6,111.69,12.06,12.16,,11.97,6.62,22.73,23.9,101.59,6.6,1
147.8,139.88,148.9,110.72,11.86,12.26,0.39,11.97,6.62,25.19,21.1,93.68,6.62,1
157.1,178.41,180.8,115.1,12.06,12.26,,11.97,6.6,24.79,15.7,103.49,6.61,1
165.9,152.8,160.6,122.18,12.04,12.35,0.41,11.97,6.43,23.24,8.9,95.42,6.41,1
149.3,155.77,141.7,116.5,11.83,12.37,0.37,11.97,6.62,26.0,8.4,106.45,6.6,1
159.8,159.4,168.0,108.65,11.76,12.24,,11.97,6.61,24.2,13.1,91.44,6.62,1
159.0,170.62,157.8,113.63,12.06,12.31,,11.97,6.62,22.76,16.0,103.46,6.62,1
145.1,148.97,140.8,114.25,12.04,12.17,0.41,11.97,6.41,23.13,16.5,97.73,6.41,1
146.9,164.2,166.7,111.16,12.08,12.22,,11.97,6.62,28.23,27.7,100.48,6.61,1
159.0,153.23,150.4,114.08,12.05,12.27,0.41,11.97,6.41,26.05,11.7,100.14,6.43,1
185.1,176.69,146.2,113.54,12.07,12.23,,11.97,6.63,22.82,27.7,103.0,6.63,1
165.3,144.77,132.8,113.52,12.11,12.22,0.41,11.97,6.42,23.24,16.0,98.73,6.4,1
154.2,135.77,152.0,109.4,11.85,12.24,0.38,11.98,6.63,26.14,25.7,100.3,6.62,1
173.2,170.03,172.4,112.69,11.88,12.39,,11.97,6.61,25.73,9.7,94.69,6.61,1
190.8,147.3,160.1,117.4,11.8,12.23,,11.97,6.61,24.44,19.0,88.97,6.61,1
